DATA;JOGADOR 1;JOGADOR 2;JOGADOR 3;JOGADOR 4;PLACAR DUPLA 1;PLACAR DUPLA 2;BUCHUDA DE Rê?;PONTUAR;PAGADOR1;DEB PAG1;COMP PG1;PAGADOR2;DEB PAG2;COMP PG2
14/09/2023;JORNALISTA;JOGADOR N«O MEMBRO;CARCAMANO;TIA LÈIÄA;0;6;N«O;7;JORNALISTA;2;OK;JOGADOR N«O MEMBRO;2;OK
11/07/2023;PROFESSOR;JOGADOR N«O MEMBRO;JAPON“S;TIA LÈIÄA;0;6;N«O;7;PROFESSOR;2;OK;JOGADOR N«O MEMBRO;2;OK
02/08/2023;PROFESSOR;FANTASMA;JOGADOR N«O MEMBRO;JOGADOR N«O MEMBRO;6;0;N«O;7;JOGADOR N«O MEMBRO;2;OK;JOGADOR N«O MEMBRO;2;OK
04/01/2024;VOV‚;JOGADOR N«O MEMBRO;÷NDIO;MESTRE;0;6;N«O;7;VOV‚;4;OK;JOGADOR N«O MEMBRO;0;OK
06/07/2023;CARCAMANO;JOGADOR N«O MEMBRO;TATU BOLA;MOLINHO;0;6;N«O;7;CARCAMANO;2;OK;JOGADOR N«O MEMBRO;2;OK
15/01/2025;TATU BOLA;APRENDIZ;TIA LÈIÄA;MESTRE;8;0;N«O;9;MESTRE;2;OK;TIA LÈIÄA;2;OK
21/02/2024;FUMACINHA;TATU BOLA;LITR«O;JAPON“S;6;0;N«O;7;LITR«O;2;OK;JAPON“S;2;OK
05/09/2025;PROFESSOR;APRENDIZ;POL÷CIA FEMININA;CARCAMANO;6;0;N«O;7;CARCAMANO;$2.00;OK;POL÷CIA FEMININA;$2.00;OK
06/09/2023;CARCAMANO;TATU BOLA;JOGADOR N«O MEMBRO;MOLINHO;0;6;N«O;7;CARCAMANO;2;OK;TATU BOLA;2;OK
27/12/2023;MESTRE;TIA LÈIÄA;JAPON“S;TATU BOLA;0;7;N«O;8;MESTRE;2;OK;TIA LÈIÄA;2;OK
30/04/2024;JORNALISTA;JAPON“S;MESTRE;TIA LÈIÄA;6;0;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
21/10/2024;PROFESSOR;MOLINHO;CANTOR;APRENDIZ;0;8;N«O;9;PROFESSOR;2;OK;MOLINHO;2;OK
11/12/2024;LITR«O;XAM«;JOGADOR N«O MEMBRO;TATU BOLA;7;0;N«O;8;JOGADOR N«O MEMBRO;2;;TATU BOLA;2;OK
02/05/2024;MOLINHO;JOGADOR N«O MEMBRO;LITR«O;÷NDIO;6;0;N«O;7;LITR«O;2;OK;÷NDIO;2;OK
10/09/2025;CARCAMANO;PROFESSOR;FUMACINHA;JAPON“S;6;0;N«O;7;FUMACINHA;$2.00;OK;JAPON“S;$2.00;OK
15/01/2025;JORNALISTA;JAPON“S;CANTOR;FUMACINHA;0;6;N«O;7;JORNALISTA;2;OK;JAPON“S;2;OK
09/05/2025;÷NDIO;APRENDIZ;POL÷CIA FEMININA;FUMACINHA;7;0;N«O;8;FUMACINHA;$2.00;OK;POL÷CIA FEMININA;$2.00;OK
02/08/2023;JAPON“S;TATU BOLA;MESTRE;TIA LÈIÄA;6;0;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
20/02/2024;CARCAMANO;TIA LÈIÄA;PROFESSOR;JAPON“S;6;0;N«O;7;PROFESSOR;2;OK;JAPON“S;2;OK
26/01/2024;CARCAMANO;TATU BOLA;JORNALISTA;LITR«O;0;6;N«O;7;CARCAMANO;2;OK;TATU BOLA;2;OK
17/04/2024;CARCAMANO;FUMACINHA;TIA LÈIÄA;APRENDIZ;7;0;N«O;8;TIA LÈIÄA;2;OK;APRENDIZ;2;OK
28/06/2024;CARCAMANO;JAPON“S;JOGADOR N«O MEMBRO;÷NDIO;6;0;N«O;7;JOGADOR N«O MEMBRO;2;OK;÷NDIO;2;OK
01/10/2024;JORNALISTA;TATU BOLA;MOLINHO;APRENDIZ;0;6;N«O;7;JORNALISTA;2;OK;TATU BOLA;2;OK
21/08/2024;JOGADOR N«O MEMBRO;SEM PRESSA;MESTRE;÷NDIO;6;0;N«O;7;MESTRE;2;OK;÷NDIO;2;OK
11/02/2025;TATU BOLA;MESTRE;JOGADOR N«O MEMBRO;MOLINHO;0;7;N«O;8;TATU BOLA;2;;MESTRE;2;OK
29/02/2024;JORNALISTA;FUMACINHA;FANTASMA;TIA LÈIÄA;8;0;N«O;9;FANTASMA;2;OK;TIA LÈIÄA;2;OK
22/03/2024;PROFESSOR;MOLINHO;JOGADOR N«O MEMBRO;FUMACINHA;0;6;N«O;7;PROFESSOR;2;OK;MOLINHO;2;OK
26/06/2024;JOGADOR N«O MEMBRO;JAPON“S;÷NDIO;CARCAMANO;0;6;N«O;7;JOGADOR N«O MEMBRO;2;OK;JAPON“S;2;OK
24/04/2024;PROFESSOR;LITR«O;FUMACINHA;APRENDIZ;6;0;N«O;7;FUMACINHA;2;OK;APRENDIZ;2;OK
17/08/2023;JORNALISTA;TATU BOLA;PROFESSOR;MOLINHO;0;6;N«O;7;JORNALISTA;2;OK;TATU BOLA;2;OK
11/09/2025;CARCAMANO;APRENDIZ;VOV‚;JAPON“S;6;0;N«O;7;VOV‚;$2.00;OK;JAPON“S;$2.00;OK
17/07/2025;CARCAMANO;APRENDIZ;÷NDIO;POL÷CIA FEMININA;6;0;N«O;7;÷NDIO;$2.00;;POL÷CIA FEMININA;$2.00;OK
30/09/2025;MOLINHO;TATU BOLA;FRODO COGUMELO;POL÷CIA FEMININA;0;6;N«O;7;MOLINHO;$2.00;OK;TATU BOLA;$2.00;OK
16/01/2025;PROFESSOR;TIA LÈIÄA;VOV‚;FUMACINHA;0;6;N«O;7;PROFESSOR;2;OK;TIA LÈIÄA;2;OK
06/12/2023;JOGADOR N«O MEMBRO;TATU BOLA;CARCAMANO;LITR«O;0;6;N«O;7;JOGADOR N«O MEMBRO;2;OK;TATU BOLA;2;OK
26/04/2024;÷NDIO;JAPON“S;MESTRE;TIA LÈIÄA;6;0;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
19/08/2024;CARCAMANO;PROFESSOR;FUMACINHA;TATU BOLA;7;0;N«O;8;FUMACINHA;2;OK;TATU BOLA;2;OK
31/08/2023;MESTRE;TIA LÈIÄA;JORNALISTA;PROFESSOR;0;6;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
10/08/2023;PROFESSOR;JAPON“S;TATU BOLA;MOLINHO;0;7;N«O;8;PROFESSOR;2;OK;JAPON“S;2;OK
22/11/2024;JORNALISTA;JOGADOR N«O MEMBRO;JOGADOR N«O MEMBRO;TATU BOLA;6;0;N«O;7;JOGADOR N«O MEMBRO;2;;TATU BOLA;4;OK
14/06/2024;FUMACINHA;JAPON“S;MESTRE;TIA LÈIÄA;0;6;N«O;7;FUMACINHA;2;OK;JAPON“S;2;OK
22/11/2024;LITR«O;TATU BOLA;CANTOR;FUMACINHA;0;6;N«O;7;LITR«O;2;OK;TATU BOLA;2;OK
12/04/2024;CARCAMANO;APRENDIZ;LITR«O;FUMACINHA;0;6;N«O;7;CARCAMANO;2;OK;APRENDIZ;2;OK
17/09/2024;MESTRE;TIA LÈIÄA;DISC÷PULO;JAPON“S;6;0;N«O;7;DISC÷PULO;2;OK;JAPON“S;2;OK
21/02/2024;FUMACINHA;TATU BOLA;LITR«O;JAPON“S;6;0;N«O;7;LITR«O;2;OK;JAPON“S;2;OK
08/11/2023;JOGADOR N«O MEMBRO;MOLINHO;LITR«O;PROFESSOR;0;6;N«O;7;JOGADOR N«O MEMBRO;2;OK;MOLINHO;2;OK
09/12/2024;JAPON“S;SEM PRESSA;FUMACINHA;FRODO COGUMELO;0;6;N«O;7;JAPON“S;2;OK;SEM PRESSA;2;OK
09/04/2024;CARCAMANO;PROFESSOR;VOV‚;TATU BOLA;6;2;N«O;4;;0;;;0;OK
03/05/2024;JORNALISTA;TATU BOLA;JAPON“S;MESTRE;0;6;N«O;7;JORNALISTA;2;OK;TATU BOLA;2;OK
23/09/2024;DISC÷PULO;MOLINHO;MESTRE;SEM PRESSA;6;0;N«O;7;MESTRE;2;OK;SEM PRESSA;2;OK
02/04/2024;JAPON“S;TIA LÈIÄA;CARCAMANO;JOGADOR N«O MEMBRO;0;6;N«O;7;JAPON“S;2;OK;TIA LÈIÄA;2;OK
12/06/2024;FUMACINHA;TATU BOLA;JOGADOR N«O MEMBRO;TIA LÈIÄA;5;6;SIM;8;FUMACINHA;3;OK;TATU BOLA;3;OK
14/08/2023;FANTASMA;JAPON“S;TATU BOLA;MESTRE;0;6;N«O;7;FANTASMA;2;OK;JAPON“S;2;OK
05/09/2024;÷NDIO;TATU BOLA;LITR«O;FUMACINHA;0;6;N«O;7;÷NDIO;2;OK;TATU BOLA;2;OK
29/05/2025;JORNALISTA;CANTOR;LITR«O;SEM PRESSA;6;0;N«O;7;LITR«O;$2.00;OK;SEM PRESSA;$2.00;OK
26/11/2024;LITR«O;PROFESSOR;CANTOR;TATU BOLA;6;0;N«O;7;CANTOR;2;OK;TATU BOLA;2;OK
